Category,Numerical,Description,Salary,Rating,Boolean
Category C,164,Consectetur adipiscing elit,99055,5,True 
Category C,36,Sed do eiusmod tempor incididunt,64199,5,True 
Category A,406,Consectetur adipiscing elit,42888,5,True 
Category B,137,Consectetur adipiscing elit,87970,5,True 
Category C,56,Sed do eiusmod tempor incididunt,45810,5,True 
Category A,590,Lorem ipsum dolor sit amet,47724,5,True 
Category A,697,Ut labore et dolore magna aliqua,43565,5,True 
Category A,788,Lorem ipsum dolor sit amet,74146,5,True 
Category B,852,Sed do eiusmod tempor incididunt,75262,5,True 
Category B,476,Sed do eiusmod tempor incididunt,49634,5,True 
Category B,930,Lorem ipsum dolor sit amet,101278,5,True 
Category C,170,Consectetur adipiscing elit,47393,5,True 
Category B,837,Sed do eiusmod tempor incididunt,53594,5,True 
Category B,781,Lorem ipsum dolor sit amet,88892,5,True 
Category C,25,Sed do eiusmod tempor incididunt,113640,5,True 
Category A,86,Consectetur adipiscing elit,92690,5,True 
Category A,274,Lorem ipsum dolor sit amet,118019,5,True 
Category C,898,Consectetur adipiscing elit,65787,5,True 
Category C,640,Sed do eiusmod tempor incididunt,85852,5,True 
Category C,824,Lorem ipsum dolor sit amet,69227,5,True 
Category B,457,Lorem ipsum dolor sit amet,59600,5,True 
Category B,965,Ut labore et dolore magna aliqua,78161,5,True 
Category B,239,Sed do eiusmod tempor incididunt,117494,5,True 
Category B,627,Consectetur adipiscing elit,117852,5,True 
Category C,554,Ut labore et dolore magna aliqua,118475,5,True 
Category B,744,Sed do eiusmod tempor incididunt,90875,5,True 
Category C,449,Lorem ipsum dolor sit amet,87836,5,True 
Category C,454,Lorem ipsum dolor sit amet,31710,5,True 
Category B,112,Ut labore et dolore magna aliqua,99584,5,True 
Category B,322,Ut labore et dolore magna aliqua,113526,5,True 
Category B,766,Ut labore et dolore magna aliqua,99870,5,True 
Category A,820,Ut labore et dolore magna aliqua,94461,5,True 
Category C,248,Sed do eiusmod tempor incididunt,41862,5,True 
Category A,671,Consectetur adipiscing elit,75668,5,True 
Category A,258,Lorem ipsum dolor sit amet,103341,5,True 
Category A,286,Consectetur adipiscing elit,75659,5,True 
Category C,957,Consectetur adipiscing elit,41288,5,True 
Category B,346,Lorem ipsum dolor sit amet,97799,5,True 
Category C,796,Lorem ipsum dolor sit amet,108527,5,True 
Category C,328,Sed do eiusmod tempor incididunt,46207,5,True 
Category B,668,Lorem ipsum dolor sit amet,110251,5,True 
Category B,99,Consectetur adipiscing elit,46352,5,True 
Category C,992,Consectetur adipiscing elit,71858,5,True 
Category A,691,Consectetur adipiscing elit,40396,5,True 
Category C,60,Ut labore et dolore magna aliqua,60890,5,True 
Category A,575,Consectetur adipiscing elit,111423,5,True 
Category A,144,Sed do eiusmod tempor incididunt,109513,5,True 
Category A,25,Sed do eiusmod tempor incididunt,30896,5,True 
Category C,340,Consectetur adipiscing elit,60928,5,True 
Category A,348,Ut labore et dolore magna aliqua,111763,5,True 
Category B,938,Ut labore et dolore magna aliqua,106666,5,True 
Category B,404,Ut labore et dolore magna aliqua,107864,5,True 
Category B,993,Lorem ipsum dolor sit amet,85410,5,True 
Category C,503,Lorem ipsum dolor sit amet,70786,5,True 
Category B,442,Lorem ipsum dolor sit amet,118760,5,True 
Category C,338,Consectetur adipiscing elit,77097,5,True 
Category A,745,Consectetur adipiscing elit,66142,5,True 
Category C,10,Ut labore et dolore magna aliqua,83257,5,True 
Category B,938,Lorem ipsum dolor sit amet,74516,5,True 
Category A,590,Sed do eiusmod tempor incididunt,105800,5,True 
Category B,234,Sed do eiusmod tempor incididunt,67218,5,True 
Category C,768,Sed do eiusmod tempor incididunt,48490,5,True 
Category C,143,Lorem ipsum dolor sit amet,39295,5,True 
Category A,694,Lorem ipsum dolor sit amet,60162,5,True 
Category B,234,Ut labore et dolore magna aliqua,86158,5,True 
Category B,140,Lorem ipsum dolor sit amet,78967,5,True 
Category A,91,Consectetur adipiscing elit,56983,5,True 
Category C,724,Sed do eiusmod tempor incididunt,63964,5,True 
Category B,948,Consectetur adipiscing elit,107366,5,True 
Category C,407,Sed do eiusmod tempor incididunt,98288,5,True 
Category C,749,Lorem ipsum dolor sit amet,34251,5,True 
Category C,422,Lorem ipsum dolor sit amet,39848,5,True 
Category A,408,Ut labore et dolore magna aliqua,66192,5,True 
Category C,1,Sed do eiusmod tempor incididunt,113291,5,True 
Category A,751,Consectetur adipiscing elit,47915,5,True 
Category A,793,Consectetur adipiscing elit,61052,5,True 
Category B,109,Lorem ipsum dolor sit amet,103419,5,True 
Category B,945,Consectetur adipiscing elit,85252,5,True 
Category C,916,Consectetur adipiscing elit,57410,5,True 
Category C,433,Lorem ipsum dolor sit amet,98381,5,True 
Category A,414,Sed do eiusmod tempor incididunt,46722,5,True 
Category C,409,Sed do eiusmod tempor incididunt,97782,5,True 
Category A,104,Sed do eiusmod tempor incididunt,92908,5,True 
Category B,501,Ut labore et dolore magna aliqua,57875,5,True 
Category C,271,Consectetur adipiscing elit,93556,5,True 
Category C,577,Sed do eiusmod tempor incididunt,30248,5,True 
Category B,294,Consectetur adipiscing elit,70146,5,True 
Category A,419,Ut labore et dolore magna aliqua,89905,5,True 
Category A,758,Sed do eiusmod tempor incididunt,117168,5,True 
Category C,547,Sed do eiusmod tempor incididunt,114918,5,True 
Category A,981,Consectetur adipiscing elit,56683,5,True 
Category C,154,Sed do eiusmod tempor incididunt,76664,5,True 
Category C,707,Lorem ipsum dolor sit amet,42651,5,True 
Category B,139,Lorem ipsum dolor sit amet,106677,5,True 
Category C,214,Sed do eiusmod tempor incididunt,41676,5,True 
Category B,14,Consectetur adipiscing elit,40604,5,True 
Category C,980,Sed do eiusmod tempor incididunt,86189,5,True 
Category C,491,Ut labore et dolore magna aliqua,79400,5,True 
Category C,858,Ut labore et dolore magna aliqua,110171,5,True 
Category C,300,Consectetur adipiscing elit,36416,5,True 
Category C,728,Lorem ipsum dolor sit amet,116127,5,True 
Category A,524,Ut labore et dolore magna aliqua,53469,5,True 
Category C,289,Lorem ipsum dolor sit amet,53840,5,True 
Category B,106,Ut labore et dolore magna aliqua,73305,5,True 
Category C,932,Consectetur adipiscing elit,97791,5,True 
Category C,207,Ut labore et dolore magna aliqua,53200,5,True 
Category A,491,Ut labore et dolore magna aliqua,80835,5,True 
Category A,432,Sed do eiusmod tempor incididunt,105708,5,True 
Category B,173,Ut labore et dolore magna aliqua,97911,5,True 
Category B,284,Consectetur adipiscing elit,81830,5,True 
Category A,928,Lorem ipsum dolor sit amet,47048,5,True 
Category B,199,Lorem ipsum dolor sit amet,54234,5,True 
Category B,743,Sed do eiusmod tempor incididunt,100799,5,True 
